token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,survived_to_day_7,hp_trajectory_json,name,creator_address,notes
0x7e6f05e2154e7431f634f8b46b9767f9b42edb07,YALP,base,clanker,1771822119,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],YALP,0x3ae23e5420620ba4b432a7046bf3b5eda652f51e,no swaps in 90d;zero-activity
0x72639fe0d99474e38771fcc360fce1a9cde45b07,XVM,base,clanker,1774015785,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],XVM,0x8c190ef467da23986935d0d4647d8b74829fa1b8,no swaps in 90d;zero-activity
0xce431e01530a7df3c90634f72d8d3534f44b5b07,zaza,base,clanker,1773158295,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],zaza,0x3d01777b3094cefb5941c6e160194ffe45336aca,no swaps in 90d;zero-activity
0x7cf17c3b6ffc260aeacf6f8ad42a449d95c68b07,Alien,base,clanker,1771699831,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Alien,0x8c6c690be122729748b578108d455e6e4a690020,no swaps in 90d;zero-activity
0x5c26cd349d998814121252d2e26d0d210720ab07,Aurora,base,clanker,1771453467,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Aurora,0xf364415093a285b40f190a19211f81453266011b,no swaps in 90d;zero-activity
0xdf164d1aecae6e8e1707f5248e10d2b95aaadb07,CLAWVER,base,clanker,1771590427,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],CLAWVER,0x7c3de560bac412a2f7713b99cd8fa71b4cad310e,no swaps in 90d;zero-activity
0x2a36c8b4305de9ae195b792538b4a367a399f908,DEBOTT,base,clanker,1772380435,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],DEBOTT,0x0836cfe9d573ed7f7244165d31fdea4adbf3dc78,no swaps in 90d;zero-activity
0xaf0321135a136488fc85aa44eabeff3f1da1fb07,Oilcoin,base,clanker,1772410059,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Oilcoin,0xe548db73001bcb9eeeef65401dbdb8d41265dc4f,no swaps in 90d;zero-activity
0xdbab969d4ec99aa87d8a0bff5e56bca4ba254b07,PIXELPUN,base,clanker,1772576849,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],PIXELPUN,0x85be52da30ff2a10420816fc01bf5922ab072912,no swaps in 90d;zero-activity
0x7fe6249d7d7d7bb385229b93ed369535d9b18b07,FLAWCAST,base,clanker,1772271583,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],FLAWCAST,0x82bad5a84e072c96cc0d5a08281751bfb8a95100,no swaps in 90d;zero-activity
